Strain,radius_cm,plate_id,cm
'C2',2.561966681,1014_20220525,0.000256197
'C2',2.800319231,1023_20220502,0.000280032
'C2',2.663933312,1042_20220523,0.000266393
'C2',2.493189713,1045_20220504,0.000249319
'C2',2.772958377,1048_20220506,0.000277296
'A5',2.691689161,1076_20220511,0.000269169
'Agg',2.401545304,3_20220426,0.000240155
'Agg',2.079574462,12_20220502,0.000207957
'Agg',2.492661555,16_20220419,0.000249266
'Agg',2.207351909,480_20221205,0.000220735
'A5',3.082057158,52_20220707,0.000308206
'A5',2.7042621,84_20220621,0.000270426
'A5',2.674671922,91_20220708,0.000267467
'A5',2.908936581,938_20220325,0.000290894
'Clarum',2.607995659,28_20230227,0.0002608
'Clarum',2.534415134,206_20230303,0.000253442
'Clarum',2.751552457,202_20230314,0.000275155
'Clarum',2.616260839,218_20230227,0.000261626
'C3',2.492728613,219_20230307,0.000249273
'C3',2.829121996,229_20230330,0.000282912
'C2',2.637202749,527_20230106,0.00026372
'C2',2.61394941,537_20230111,0.000261395
'C2',2.553839712,462_20221013,0.000255384
'C2',2.58000053,532_20220104,0.000258
'C3',2.888565411,249_20230324,0.000288857
'C3',2.987354438,241_20230403,0.000298735
'Clarum',2.712638613,252_20230316,0.000271264
'Clarum',2.785834989,248_20230320,0.000278583