pot_field,genus,n_entries,n_studies
field,Mixed,401,31
pot,Trifolium,328,33
field,Zea,294,23
pot,Zea,280,23
pot,Gossypium,240,3
pot,Plantago,170,14
pot,Medicago,148,11
field,Leymus,139,3
pot,Triticum,137,12
field,Andropogon,133,4
field,Triticum,127,9
pot,Cucumis,95,13
field,Bromus,79,3
field,Festuca,73,3
field,Seeded,64,3
field,Stipa,56,4
pot,Sorghum,51,6
pot,Bromus,50,4
pot,Phyllanthus,48,1
field,Avena,46,5
field,Citrus,42,6
field,Artemisia,39,4
pot,Achillea,38,1
pot,Brachypodium,38,1
pot,Linum,36,4
pot,Pisum,33,3
pot,Allium,26,3
field,Gossypium,24,1
field,Kobresia,24,4
field,Castanopsis,23,1
pot,Glycine,23,3
pot,Cajanus,21,2
pot,Olea,21,2
field,Medicago,20,2
field,Sophora,20,1
pot,Lactuca,20,3
pot,Lolium,20,5
field,Glycine,19,4
field,Cunninghamia,18,4
pot,Lycopersicon,18,1
field,Mixed-Crop,17,3
pot,Astragalus,16,2
pot,Ipomoea,14,1
pot,Citrus,13,2
field,Coffea,12,1
field,Lolium,12,1
field,Metrosideros,12,2
field,Pinus,12,1
pot,Artemisia,12,2
pot,Prunella,12,1
field,Ambrosia,11,2
pot,Vicia,11,2
field,Larrea,10,1
field,Solanum,10,3
pot,Poncirus,10,2
pot,Suaeda,10,1
field,Acer,9,2
pot,Agrostis,9,2
pot,Coffea,9,1
pot,Lotus,9,2
field,Brachiaria,8,2
field,Centaurea,8,1
field,Indigofera,8,1
field,Pennisetum,8,1
field,Populus,8,1
field,Quercus,8,1
pot,Andropogon,8,1
pot,Populus,8,1
field,Panicum,7,2
field,Parastrephia,7,1
pot,Seeded,7,2
pot,Trifoliate,7,2
field,Coffee,6,1
field,Miscanthus,6,1
field,Poncirus,6,1
pot,Aegilops,6,1
pot,Cedrus,6,1
pot,Digitaria,6,1
pot,Nicotiana,6,2
pot,Psathyrostachys,6,2
field,Carex,5,1
field,Cinchona,5,1
field,Deyeuxia,5,1
field,Schima,5,2
field,Sorghum,5,2
pot,Aster,5,1
pot,Chrysanthemum,5,1
pot,Daucus,5,1
pot,Fragaria,5,1
pot,Hordeum,5,2
pot,Rudbeckia,5,1
pot,Solanum,5,2
pot,Solidago,5,1
field,Acacia,4,2
field,Baccharis,4,1
field,Leontopodium,4,1
field,Malus,4,1
field,Natural,4,1
field,Pisum,4,1
field,Potentilla,4,1
field,Prosopis,4,1
field,Robinia,4,1
field,Salix,4,1
field,Secale,4,1
pot,Acer,4,1
pot,Avena,4,1
pot,Bidens,4,1
pot,Cinnamomum,4,1
pot,Cleistogenes,4,1
pot,Dichanthelium,4,1
pot,Gutierrezia,4,1
pot,Leymus,4,1
pot,Ligularia,4,1
pot,Malus,4,1
pot,Mimulus,4,1
pot,Mixed,4,2
pot,Oryza,4,1
pot,Pascopyrum,4,1
pot,Sorghastrum,4,1
pot,Themeda,4,1
field,Agave,3,1
field,Camellia,3,1
field,Chamaenerion,3,1
field,Hordeum,3,1
field,Peltophorum,3,1
field,Prunus,3,1
field,Senecio,3,1
field,Vicia,3,1
field,Werneria,3,1
pot,Delavaya,3,1
pot,Toona,3,1
field,Cinnamomum,2,1
field,Gliricidia,2,1
field,Lampaya,2,1
field,Lotus,2,1
field,Lycopersicon,2,1
field,Salix,2,1
pot,Anthoxanthum,2,1
pot,Crotalaria,2,1
pot,Juglans,2,1
pot,Pseudobombax,2,1
field,Achillea,1,1
field,Adesmia,1,1
field,Aegilops,1,1
field,Agropyron,1,1
field,Alniphyllum,1,1
field,Ammophila,1,1
field,Amorpha,1,1
field,Amsinckia,1,1
field,Anemone,1,1
field,Asclepias,1,1
field,Bouteloua,1,1
field,Cajanus,1,1
field,Caragana,1,1
field,Carpobrotus,1,1
field,Choerospondias,1,1
field,Clidemia,1,1
field,Conyza,1,1
field,Crotalaria,1,1
field,Cupressus,1,1
field,Elaeocarpus,1,1
field,Fabiana,1,1
field,Helianthus,1,1
field,Heteropappus,1,1
field,Koeleria,1,1
field,Lespedeza,1,1
field,Liquidambar,1,1
field,Lupinus,1,1
field,Machilus,1,1
field,Manglietia,1,1
field,Neolitsea,1,1
field,Petalostemum,1,1
field,Poa,1,1
field,Polygonum,1,1
field,Schizachyrium,1,1
field,Solidago,1,1
field,Sorghastrum,1,1
field,Taeniatherum,1,1
field,Taxus,1,1
field,Urena,1,1
pot,Anthyllis,1,1
pot,Centaurea,1,1
pot,Corynephorus,1,1
pot,Dianthus,1,1
pot,Erodium,1,1
pot,Festuca,1,1
pot,Hieracium,1,1
pot,Hypochaeris,1,1
pot,Potentilla,1,1
pot,Pseudoroegneria,1,1